Hotel Name,Price,Star,Rating
Off SoHo Suites Hotel,"₹ 150,540",2,7.9
Hampton Inn Manhattan - Times Square South,"₹ 101,319",3,6.7
Sonder City Hall Park,"₹ 180,923",4,8.9
Crosby Street Hotel,"₹ 383,196",5,9.4
The William powered by Sonder,"₹ 261,334",4,8.0
Warren Street Hotel,"₹ 217,354",5,9.6
"The Ritz-Carlton New York, Central Park","₹ 365,230",5,8.3
"The Ritz-Carlton New York, NoMad","₹ 368,245",5,9.4
Chelsea Inn,"₹ 73,703",3,6.8
Lombardy Hotel,"₹ 136,471",4,8.4
Edge Hotel Washington Heights,"₹ 66,111",3,8.4
Macaw Guest House,"₹ 30,153",1,6.3
LES is MORE stunning views!,"₹ 115,905",4,7.5
The Manner,"₹ 225,897",5,0
Massive Multi-Million Dollar Home with Private Rooftop l Fashion House l,"₹ 416,415",3,0
Cozy 3BR 2BA Apt in East Harlem!,"₹ 234,189",3,0
Million Dollar Home Enjoy Large Private Outdoor Space I Tito I,"₹ 253,588",3,0
Italian style room in Manhattan Central Harlem,"₹ 40,204",3,9.1
TownePlace Suites by Marriott New York Manhattan/Times Square,"₹ 120,106",3,8.3
Upper East Side Luxury 3BR 2B,"₹ 261,327",4,10
"Luxurious Harlem Home with Modern Amenities, Outdoor Patio!","₹ 382,530",3,10
Harlem New Multi-Million Dollar Manhattan Brownstone,"₹ 263,840",4,0
Multi Million Dollar Modern Triplex,"₹ 422,898",3,0
NYE Ball Drop Steps Away I Penthouse Views,"₹ 703,908",4,0
The Harlem Cascades,"₹ 71,614",3,8.3
Truss Hotel Times Square,"₹ 106,064",4,7.4
Doxie Hotel,"₹ 89,479",2,6.9
Northern Lights Mansion,"₹ 97,474",3,8.4
Placemakr Wall Street,"₹ 106,457",4,8.8
"STUDIO PLUS, Next to the Korea-Town","₹ 72,870",3,7.2
The Broome,"₹ 180,085",4,8.8
NobleDEN Hotel,"₹ 143,981",4,9.0
Chrystie Street Apartments,"₹ 75,383",2,5.9
The Historic Blue Moon Hotel - NYC,"₹ 112,469",4,7.6
Luxe Studio with Charming Juliet Balcony,"₹ 131,417",3,0
Studios Midtown Manhattan,"₹ 101,139",3,8.3
Steps From Times Square Broadway,"₹ 97,018",3,6.0
Studios in New York,"₹ 83,298",3,7.5
Comfort Inn Manhattan - Midtown West,"₹ 77,028",3,6.9
Stylish Studio Apartment At UES,"₹ 106,039",4,0
Mid Town East Street Apartments Next to Times Square,"₹ 106,541",3,0
Park Ave Apartments Midtown Next to Times Square,"₹ 100,259",3,6.6
Exquisite 2BD Apartment At East Side,"₹ 156,796",4,0
5th & 55th Residence Club,"₹ 360,707",2,10
Unique 2 Bedroom Apartment At Mid West,"₹ 157,801",4,0
Marvelous & Cozy 3BDR & 2BTH in New York,"₹ 125,387",3,0
Designer 2BD 2 BA At UES,"₹ 195,995",3,0
Luxury Apartments Next to Times Square,"₹ 112,823",5,7.8
"Amazing Hiding Gem 2beds 1,5bath","₹ 193,448",4,9.5
Stylish 2 Bed Apt At Mid East,"₹ 156,796",4,0
Cozy Studio Apartment At UES,"₹ 105,033",4,0
New York Suite Upper East Side Manhattan,"₹ 120,364",3,9.0
Outstanding & Bright 5BDR & 2 BTH in Downtown Manhattan,"₹ 150,514",3,0
Marvellous 3BD At Lower East Side,"₹ 203,534",4,0
Modern 3BR At Lower East Side,"₹ 282,686",3,0
Collective Governors Island,"₹ 109,494",5,8.8
Midtown Luxe,"₹ 142,247",3,0
Elegant 2 Bd 2 Bath Escape,"₹ 177,150",4,9.0
Luxury 2BR Duplex 5min to Central Park,"₹ 224,390",1,8.7
"SWJ 2nd - Times SQ, Brooklyn Bridge, LGA in 15 min","₹ 154,786",4,9.1
Modern 2BD 1BA At Mid West,"₹ 185,944",4,1.0
STUDIO PLUS - 2 Bedroom Apartment in Midtown,"₹ 128,151",3,6.5
"SWJ 5th - Perfect for Tourism: Near Train, Times Sq, Dining","₹ 154,786",3,5.7
Gorgeous & Stylish 4BDR & 2BTH in Downtown Manhattan,"₹ 200,770",3,0
Two bedroom condo in Upper West Side,"₹ 194,533",4,0
Gorgeous SOHO Duplex Brownstone,"₹ 226,777",3,10
Beautiful 2BD Apartment At Mid East Side,"₹ 194,739",3,0
Elegant 3BD At Lower East Side,"₹ 276,404",4,0
