Hotel Name,Price,Star,Rating
Renaissance New York Midtown Hotel,"₹2,16,662",4,8.9
The Frederick Hotel Tribeca,"₹1,61,119",5,8.2
"Park South Hotel, part of JdV by Hyatt","₹2,09,728",4,8.9
Super 8 by Wyndham Long Island City LGA Hotel,"₹62,465",2,6.4
The Gregorian New York City,"₹1,65,993",4,8.4
The Fifty Sonesta New York,"₹1,36,397",4,8.1
"The Historic Mayfair Hotel Times Square, Ascend Hotel Collection","₹87,655",3,7.6
The Local NY,"₹26,372",3,8.5
Corona Hotel New York - LaGuardia Airport,"₹45,919",3,7.1
Howard Johnson Manhattan Soho,"₹91,414",2,8.3
Soho Grand Hotel,"₹1,79,783",4,8.6
Solita Soho Hotel,"₹1,28,682",3,7.8
Jg Sohotel,"₹67,329",3,8.4
Virgin Hotels New York City,"₹1,76,246",4,8.6
DoubleTree by Hilton Hotel New York City - Chelsea,"₹1,07,895",4,7.6
Hyatt Place Flushing/LGA Airport,"₹67,581",3,8.3
INNSiDE by Meliá New York Nomad,"₹1,43,719",4,8.8
"Hotel Shocard Broadway, Times Square","₹1,01,380",3,7.7
Best Western Premier Herald Square,"₹1,10,709",3,8.8
Truss Hotel Times Square,"₹94,717",4,8.3
The Broome,"₹2,17,096",4,9.4
Rockville Centre Hotel,"₹71,940",3,8.1
Andaz 5th Avenue-a concept by Hyatt,"₹2,22,484",4,9.1
Orchard Street Hotel,"₹71,155",3,7.2
"Martinique New York on Broadway, Curio Collection by Hilton","₹1,37,643",4,8.3
King Hotel Brooklyn Sunset Park,"₹56,209",2,7.0
Mondrian Park Avenue,"₹1,88,110",4,7.4
Hotel Moca NYC,"₹44,707",3,4.9
70 Park Avenue,"₹1,64,459",4,8.4
Artezen Hotel,"₹1,64,499",4,9.5
Royalton New York,"₹1,11,253",4,8.0
"The Historic Blue Angel Hotel Lexington Ave, Ascend Hotel Collection","₹1,20,766",3,8.8
Residence Inn Long Island Garden City,"₹68,954",3,9.1
The Ned NoMad,"₹1,93,239",5,8.9
Hotel on Rivington,"₹1,26,817",4,8.0
The Manhattan Club,"₹1,39,208",4,8.1
Baccarat Hotel and Residences New York,"₹4,04,528",5,9.2
Off SoHo Suites Hotel,"₹1,74,126",2,8.0
Hotel Belleclaire Central Park,"₹1,31,464",4,8.3
The Herald By LuxUrban,"₹86,963",3,7.9
SoHo 54,"₹1,15,927",3,7.5
Best Western Plus Soho Hotel,"₹1,21,775",3,9.1
Courtyard by Marriott New York Manhattan/Central Park,"₹1,08,007",4,8.5
Sohotel,"₹92,180",4,8.1
Ink 48 Hotel,"₹89,704",4,8.5
The Standard - East Village,"₹2,06,103",4,8.7
Chelsea Pines Inn,"₹1,13,631",3,8.4
Sofitel New York,"₹1,74,832",4,8.7
The Marmara Park Avenue,"₹1,80,696",5,8.5
The Sherry Netherland,"₹2,51,817",5,9.5
Placemakr Wall Street,"₹1,26,821",4,8.8
Feather Factory,"₹70,425",2,8.3
Bryant Park Hotel,"₹2,10,879",4,9.1
Hotel Hugo,"₹2,36,179",4,8.0
The Benjamin Royal Sonesta New York,"₹2,10,326",5,8.6
U.S. Pacific Hotel,"₹38,075",1,5.8
Chambers powered by Sonder,"₹1,51,046",4,8.7
Fairfield Inn & Suites by Marriott New York Midtown Manhattan/Penn Station,"₹1,91,982",4,8.6
The Gatsby Hotel,"₹87,346",3,7.5
Park Lane New York,"₹2,12,197",5,8.2
"33 Hotel, New York City, Seaport","₹1,57,702",5,8.7
W New York - Union Square,"₹2,26,531",5,8.0
Central Park West Hostel,"₹24,194",1,5.6
"The Standard, High Line New York","₹1,94,088",4,8.6
"U Hotel Fifth Avenue, Empire State Building","₹1,02,032",3,7.9
The Carlyle,"₹3,69,365",5,9.1
Courtyard by Marriott New York World Trade Center Area,"₹1,35,013",3,8.2
Roxy Hotel New York,"₹1,93,239",4,8.9
BeHome by LuxUrban,"₹85,234",3,6.7
San Carlos Hotel New York,"₹1,09,275",4,9.1
"The Beekman, A Thompson Hotel by Hyatt","₹2,26,856",4,9.1
Smyth Tribeca,"₹1,88,891",4,8.8
Romer Hell's Kitchen,"₹2,02,059",4,8.7
The Peninsula New York,"₹4,17,518",5,9.1
The Bowery Hotel,"₹2,03,650",5,9.1
Hotel AKA NoMad,"₹1,71,958",4,8.6
Gansevoort Meatpacking,"₹2,02,740",5,8.5
City Rooms NYC Soho,"₹84,605",3,7.3
Sonder Duane Street,"₹1,52,784",4,8.5
Cristina Luz,"₹2,08,332",4,9.0
Sixty Soho,"₹2,60,089",4,8.3
The Dominick Hotel,"₹3,98,196",5,8.8
Conrad New York Downtown,"₹2,16,357",5,9.2
Margaritaville Resort Times Square,"₹1,57,999",4,9.0
The William powered by Sonder,"₹2,76,787",4,8.6
The Shelburne Sonesta New York,"₹1,52,357",4,8.3
The Fifth Avenue Hotel,"₹2,85,030",5,9.4
Towneplace Suites New York Manhattan/times Square,"₹1,31,239",2,8.0
"The Lexington Hotel, Autograph Collection","₹1,62,815",4,8.1
The Greenwich Hotel,"₹3,39,678",5,9.1
Interfaith Retreats,"₹51,589",2,7.1
Pestana Park Avenue,"₹1,61,245",4,8.7
"The Langham, New York, Fifth Avenue","₹2,98,747",5,9.2
Courtyard New York Manhattan/Midtown West,"₹2,40,573",4,8.7
Hotel Mulberry,"₹1,13,041",3,8.8
Warren Street Hotel,"₹2,49,750",5,9.6
Kasa Lantern Lower East Side,"₹1,50,809",3,9.1
The New York EDITION,"₹3,84,332",5,9.0
Renaissance New York Chelsea Hotel,"₹2,31,455",4,8.1
"11 Howard, New York, a Member of Design Hotels","₹1,83,683",5,8.1
Wheeler Hotel,"₹31,395",2,6.2
